param_penalty,param_C,param_max_iter,mean_test_score,std_test_score,rank_test_score
l1,1.0,500,0.22306911063636692,0.0014324125800235054,1
l1,1.0,100,0.22306735120154975,0.0014320808679926334,2
l2,0.01,100,0.22306199440533367,0.0015253661075273536,3
l2,0.01,500,0.22306199440533367,0.0015253661075273536,3
l2,0.01,1000,0.22306199440533367,0.0015253661075273536,3
l1,1.0,1000,0.22306026819126443,0.001432799243453697,6
l1,100.0,500,0.22305482338548255,0.0014353508568061167,7
l2,100.0,500,0.22305482338548255,0.0014353508568061167,7
l2,100.0,100,0.22305482338548255,0.0014353508568061167,7
l2,10.0,1000,0.22305482338548255,0.0014353508568061167,7
l2,10.0,500,0.22305482338548255,0.0014353508568061167,7
l2,10.0,100,0.22305482338548255,0.0014353508568061167,7
l2,1.0,1000,0.22305482338548255,0.0014353508568061167,7
l2,100.0,1000,0.22305482338548255,0.0014353508568061167,7
l2,1.0,500,0.22305482338548255,0.0014353508568061167,7
l2,1.0,100,0.22305482338548255,0.0014353508568061167,7
l1,100.0,1000,0.22305482338548255,0.0014353508568061167,7
l1,10.0,100,0.22304612511045616,0.0014480807122628661,18
l1,10.0,500,0.22304612511045616,0.0014480807122628661,18
l1,10.0,1000,0.22304612511045616,0.0014480807122628661,18
l1,100.0,100,0.22304612511045616,0.0014480807122628661,18
l2,0.1,1000,0.2230443658142372,0.001447735374001814,22
l2,0.1,500,0.2230443658142372,0.001447735374001814,22
l2,0.1,100,0.2230443658142372,0.001447735374001814,22
l1,0.01,1000,0.22283122230456728,0.0012124997314983778,25
l1,0.01,500,0.22283122230456728,0.0012124997314983778,25
l1,0.01,100,0.22283122230456728,0.0012124997314983778,25
l1,0.1,100,0.22273178569115348,0.001574143314297108,28
l1,0.1,1000,0.22272123841946873,0.0015775773474740544,29
l1,0.1,500,0.22272123841946873,0.0015775773474740544,29
